,0,1
0,J511,DMA2_pat
1,J411,DMA1_pat
2,J414,DMA1_pat
5,J417,DMA1_pat
8,J310,DMA4_pat
9,J311,DMA4_pat
10,J312,DMA4_pat
11,J313,DMA4_pat
12,J314,DMA1_pat
13,J315,DMA1_pat
14,J316,DMA1_pat
15,J318,DMA4_pat
16,J319,DMA4_pat
17,J210,DMA1_pat
18,J211,DMA1_pat
19,J212,DMA1_pat
20,J214,DMA1_pat
21,J217,DMA1_pat
22,J218,DMA1_pat
23,J219,DMA5_pat
24,J110,DMA1_pat
26,J421,DMA1_pat
28,J1153,DMA1_pat
29,J1154,DMA1_pat
30,J1155,DMA1_pat
33,J1157,DMA1_pat
35,J1158,DMA1_pat
36,J428,DMA1_pat
37,J429,DMA1_pat
38,J320,DMA4_pat
39,J321,DMA4_pat
40,J322,DMA4_pat
41,J324,DMA4_pat
42,J1056,DMA1_pat
43,J327,DMA4_pat
44,J1058,DMA1_pat
45,J328,DMA4_pat
46,J329,DMA4_pat
47,J220,DMA5_pat
48,J221,DMA4_pat
49,J225,DMA1_pat
50,J226,DMA1_pat
51,J50,DMA4_pat
52,J51,DMA4_pat
53,J53,DMA5_pat
54,J54,DMA5_pat
55,J128,DMA2_pat
56,J55,DMA5_pat
57,J129,DMA2_pat
58,J56,DMA5_pat
59,J57,DMA5_pat
60,J58,DMA5_pat
61,J59,DMA5_pat
62,J1160,DMA1_pat
63,J1161,DMA1_pat
64,J431,DMA1_pat
65,J432,DMA1_pat
66,J433,DMA1_pat
67,J434,DMA1_pat
68,J435,DMA1_pat
69,J436,DMA1_pat
70,J438,DMA1_pat
71,J1169,DMA3_pat
72,J439,DMA1_pat
73,J330,DMA4_pat
74,J331,DMA4_pat
75,J332,DMA1_pat
76,J333,DMA1_pat
77,J334,DMA1_pat
78,J335,DMA1_pat
79,J336,DMA1_pat
80,J337,DMA1_pat
81,J231,DMA4_pat
82,J232,DMA4_pat
84,J234,DMA2_pat
85,J236,DMA5_pat
86,J237,DMA5_pat
87,J130,DMA2_pat
88,J131,DMA2_pat
89,J132,DMA2_pat
90,J133,DMA2_pat
91,J60,DMA5_pat
92,J134,DMA2_pat
93,J135,DMA2_pat
94,J62,DMA5_pat
95,J64,DMA5_pat
96,J65,DMA5_pat
97,J66,DMA5_pat
98,J67,DMA5_pat
99,J68,DMA5_pat
100,J69,DMA5_pat
101,J1170,DMA3_pat
103,J444,DMA1_pat
104,J341,DMA1_pat
105,J344,DMA3_pat
106,J345,DMA3_pat
107,J347,DMA3_pat
108,J348,DMA4_pat
109,J349,DMA4_pat
110,J241,DMA5_pat
111,J242,DMA5_pat
112,J243,DMA5_pat
113,J244,DMA5_pat
114,J245,DMA5_pat
